"PUBLISHER_ID","NAME","TEMP_PUB_ID","COMMERCIAL_NAME","ADDRESS"
12547,"An Imprint of Wadsworth Publishing Company",12547,"",""
12548,"American psychological association",12548,"",""
12549,"University of Bradford",12549,"",""
12550,"turkmen kitabevi",12550,"",""
12551,"Evero",12551,"",""
12552,"Almaty",12552,"",""
12553,"Klasik Eserler Didzisi",12553,"",""
12554,"the Canadian publishers",12554,"",""
12555,"Isil Yayinevi",12555,"",""
12556,"Gallimard",12556,"",""
12557,"Ylym",12557,"",""
12558,"Fodor's travel guide",12558,"",""
12559,"A discover book",12559,"",""
12560,"Egitim yayinlari",12560,"",""
12561,"Dunya yayincilik A S",12561,"",""
12562,"PLUME",12562,"",""
12563,"Veb bibliographisches institut",12563,"",""
12564,"Gundogan",12564,"",""
12565,"Bay yayinlari",12565,"",""
12566,"Librairie des Champs-Elyses",12566,"",""
12567,"Cassie publishers limited",12567,"",""
12568,"Editions en languages etrangeres",12568,"",""
12569,"Wordsworth American library",12569,"",""
12570,"Kazachstan",12570,"",""
12571,"Sinauer Associates",12571,"",""
12572,"General publishing company",12572,"",""
12573,"Garnier-flammarion",12573,"",""
12574,"Bloomsbury Publishing Pic",12574,"",""
12575,"WordPerfect Corporation",12575,"",""
12576,"Damla Yayin",12576,"",""
12577,"Al-Farabi Kazakh National University",12577,"",""
12578,"Da yayincilik",12578,"",""
12579,"Dil Dernegi",12579,"",""
12580,"Grolier Incorporated",12580,"",""
12581,"Hece Yayinlari",12581,"",""
12582,"The World Bank",12582,"",""
12583,"Уқитувчи",12583,"",""
12584,"Isaret yayinlari",12584,"",""
12585,"Russian language publishers",12585,"",""
12586,"Yeni Akademi Yayinlari",12586,"",""
12587,"Die Deutsche bibliothek",12587,"",""
12588,"Anadolu yayincilik",12588,"",""
12589,"Fowler Wright Books",12589,"",""
12590,"Seuil pour la traduction francaise",12590,"",""
12591,"Texas tech university press",12591,"",""
12592,"T.C. Basbakanlik Hazine Mustesarligi",12592,"",""
12593,"Ахмет Ясавы Университетине Көмек Фонды",12593,"",""
12594,"Heinemann asia",12594,"",""
12595,"Eskisehir kitabevi",12595,"",""
12596,"Temel Eser Dizisi",12596,"",""
12597,"Washington Square Press",12597,"",""
12598,"United Nations department of public information",12598,"",""
12599,"Richard Bachman",12599,"",""
12600,"cam yayinevi",12600,"",""
12601,"Pearson,Longman",12601,"",""
12602,"Market house books Ltd",12602,"",""
12603,"Longman Group UK Ltd and Metro Kitap Yayin Pazarlama A.S",12603,"",""
12604,"T.C. Uskudar Kaymakamligi",12604,"",""
12605,"Scholarly Resources Inc",12605,"",""
12606,"Academic Process",12606,"",""
12607,"Yuksek Strateji Merkezi",12607,"",""
12608,"Turkiye Is Bankasi Kultur Yayinlari",12608,"",""
12609,"Alkim Kitapcilik ve Yayincilik",12609,"",""
12610,"Sermet Matbaasi",12610,"",""
12611,"Charles Bravos",12611,"",""
12612,"1001 inventions",12612,"",""
12613,"ИСЭПиМ",12613,"",""
12614,"G.P. Putnam's Sons,",12614,"",""
12615,"Harpertorch",12615,"",""
12616,"Garnet Education",12616,"",""
12617,"Penguin English Guides",12617,"",""
12618,"Childrens Press",12618,"",""
12619,"РАГС",12619,"",""
12620,"Окей-книга",12620,"",""
12621,"Союз",12621,"",""
12622,"Pro Lingua Associates,Publishers",12622,"",""
12623,"Lessons Professional Publishing",12623,"",""
12624,"Zed Books Ltd",12624,"",""
12625,"Мәдениет және ақпарат министрлігі",12625,"",""
12626,"Multilingual Matters",12626,"",""
12627,"Dominie Press",12627,"",""
12628,"Thomson",12628,"",""
12629,"Prentica Hall Regents,",12629,"",""
12630,"Express Publishing",12630,"",""
12631,"Dell Rey",12631,"",""
12632,"World Almanic Books",12632,"",""
12633,"The Millbrook Press",12633,"",""
12634,"Lonely planet Publications",12634,"",""
12635,"Grand Central Publishing",12635,"",""
12636,"Ecole Polytechnique",12636,"",""
12637,"Redhouse",12637,"",""
12638,"Vanderbilt University",12638,"",""
12639,"Казахстанская Академия Поэзии",12639,"",""
12640,"Дәстүр",12640,"",""
12641,"Прометей",12641,"",""
12642,"Antik dunya klasikleri",12642,"",""
12643,"Mumtoz so'z",12643,"",""
12644,"Иностранка",12644,"",""
12645,"Эгмонт Россия Лтд",12645,"",""
12646,"Arena",12646,"",""
12647,"ЖезУ",12647,"",""
12648,"Golf West publishing",12648,"",""
12649,"The pelin publisher",12649,"",""
12650,"Мәдениеттер мен діндердің халықаралық орталығы",12650,"",""
12651,"Sage yayincilik reklam matbaacilik san",12651,"",""
12652,"Альянс",12652,"",""
12653,"South-Western,Vengage Learning",12653,"",""
12654,"Апельсин",12654,"",""
12655,"Үш биік",12655,"",""
12656,"Литература да хеловнеба",12656,"",""
12657,"Литературы и искусства имени Гафура Гуляма",12657,"",""
12658,"Гамма-С.А.",12658,"",""
12659,"Драйк-Пресс",12659,"",""
12660,"НИЦ Ғылым",12660,"",""
12661,"Maruzen Co.,Ltd",12661,"",""
12662,"Бико",12662,"",""
12663,"Квартет-Пресс",12663,"",""
12664,"Дәуір-Кітап",12664,"",""
12665,"Corwin",12665,"",""
12666,"АртПринт",12666,"",""
12667,"Баянжүрек",12667,"",""
12668,"КАМ Медиапринт",12668,"",""
12669,"Kriter yayinlar",12669,"",""
12670,"Holt",12670,"",""
12671,"McGrawHill",12671,"",""
12672,"University of California,Berkeley",12672,"",""
12673,"Fatih University,Department og geography",12673,"",""
12674,"Union Print House",12674,"",""
12675,"Print world",12675,"",""
12676,"CPI Antony Rowe, Chippenham, Wiltshire",12676,"",""
12677,"Focal Press Taylor& Francis Group",12677,"",""
12678,"Mektep",12678,"",""
12679,"Кинга",12679,"",""
12680,"T.O.V Yayinlari",12680,"",""
12681,"Сибирское университетское издательство",12681,"",""
12682,"ЕНУ им. Л.Н Гумилева",12682,"",""
12683,"Л.Н Гумилев атындағы Еуразия атындағы ұлттық университеті",12683,"",""
12684,"Ataturk kultur, dil ve tarih yuksek kurumu",12684,"",""
12685,"Московский лицей",12685,"",""
12686,"Gazi Kitabevi Tic. Ltd. Sti.",12686,"",""
12687,"KAPTAN ofset",12687,"",""
12688,"Apress Media",12688,"",""
12689,"Moody Press",12689,"",""
12690,"Институт Директоров",12690,"",""
12691,"JAI Press",12691,"",""
12692,"СҚУ баспа орталығы",12692,"",""
12693,"Қазмемкөркемәдеббас",12693,"",""
12694,"ECLAC",12694,"",""
12695,"Общество ""Знание""",12695,"",""
12696,"Издательство Университета дружбы народов",12696,"",""
12697,"Адил соз",12697,"",""
12698,"Yitik Hazine Yayinlari",12698,"",""
12699,"Ронд",12699,"",""
12700,"Kogan Page,",12700,"",""
12701,"Tudor business publishing limited",12701,"",""
12702,"Казконтент",12702,"",""
12703,"ГГУ им. Ф.Скорины",12703,"",""
12704,"Дайыр",12704,"",""
12705,"Ecomix Media Company",12705,"",""
12706,"Международный фонд Кореи",12706,"",""
12707,"Школа Хак Са",12707,"",""
12708,"Nobel",12708,"",""
12709,"Print Word",12709,"",""
12710,"Экопресс",12710,"",""
12711,"ФЛИНТА",12711,"",""
12712,"Gala - TV",12712,"",""
12713,"Pasifik Ofset",12713,"",""
12714,"Ozyurek Yayinevi",12714,"",""
12715,"Ex Libris",12715,"",""
12716,"Классика",12716,"",""
12717,"ООН-женщины",12717,"",""
12718,"Oriental Press",12718,"",""
12719,"Экономикабаспасы ЖШС",12719,"",""
12720,"Taylor & Francis Group",12720,"",""
12721,"Prentice Hall PTR",12721,"",""
12722,"Poligrafkombinat Ltd.Sti.",12722,"",""
12723,"КазАТиСО",12723,"",""
12724,"Дом Славянской книги",12724,"",""
12725,"Evo Press",12725,"",""
12726,"Ли Ю.Ю.",12726,"",""
12727,"Индиго Принт",12727,"",""
12728,"Қарағанды",12728,"",""
12729,"Print Express",12729,"",""
12730,"Monee IL",12730,"",""
12731,"Национальный институт международного образования Республики Корея",12731,"",""
12732,"Языки русской культуры",12732,"",""
12733,"Unlu kitabevi",12733,"",""
12734,"Harvard Business School Press",12734,"",""
12735,"London",12735,"",""
12736,"Тау Кайнар",12736,"",""
12737,"Human and theatre",12737,"",""
12738,"Che",12738,"",""
12739,"История Корейской культуры",12739,"",""
12740,"Sodam",12740,"",""
12741,"Oxfopd",12741,"",""
12742,"Avon Books",12742,"",""
12743,"Oxford University Press",12743,"",""
12744,"Ы.Алтынсарин ат.Қаз білім Академиясының республикалық баспа кабинеті",12744,"",""
12745,"Русский язык",12745,"",""
12746,"Өнер",12746,"",""
12747,"Guven-Der",12747,"",""
12748,"Издательство ЦК Компартии Узбекистана",12748,"",""
12749,"Suleyman Demirel Universitesi",12749,"",""
12750,"Высшая школа",12750,"",""
12751,"Kultur Bakanligi",12751,"",""
12752,"Nobel yayinligi",12752,"",""
12753,"Bilgi yainevi",12753,"",""
12754,"Tyrkiye CMB",12754,"",""
12755,"Jove Books",12755,"",""
12756,"SDC publications",12756,"",""
12757,"Addison-Wesley",12149,"",""
12758,"Harvester Wheatsheaf",12758,"",""
12759,"Мерей",12759,"",""
12760,"Bilgi yayinevi",12760,"",""
12761,"W.W. Norton&Company,Inc",12761,"",""
12762,"Rota",12762,"",""
12763,"Прада",12763,"",""
12764,"The New Press",12764,"",""
12765,"Ана тілі",12765,"",""
12766,"Dover Publications,Inc",12766,"",""
12767,"rota",12767,"",""
12768,"Print-S",12768,"",""
12769,"Jones and Bartlett Publishers",12769,"",""
12770,"Turkiye gazetesi",12770,"",""
12771,"T.C. Disislerli Bakanligi",12771,"",""
12772,"T.C. Kultur Bak.",12772,"",""
12773,"Cliffs Notes",12773,"",""
12774,"Beta Basim Yayim Dagitim A.S.",12774,"",""
12775,"Fatih University,",12775,"",""
12776,"Scott,Foresman and Company",12776,"",""
12777,"Прогресс",12777,"",""
12778,"W.H. Freeman and Company",12778,"",""
12779,"Кәнчлик",12779,"",""
12780,"Viking Penguin",12780,"",""
12781,"The Eothen Press",12781,"",""
12782,"Unlu yayinlari",12782,"",""
12783,"McGraw-Hill, Inc",12783,"",""
