"INV_ID","PRINT_DATE","WEB_LOG","INVENTORY_NO"
84713,,,84713
84714,,,84714
84715,,,84715
84716,,,84716
84717,,,84717
84718,,,84718
84719,,,84719
84720,,,84720
84721,,,84721
84722,,,84722
84723,,,84723
84724,,,84724
84725,,,84725
84726,,,84726
84727,,,84727
84728,,,84728
84729,,,84729
84730,,,84730
84731,,,84731
84732,,,84732
84733,,,84733
84734,,,84734
84735,,,84735
84736,,,84736
86644,,,86644
86645,,,86645
86646,,,86646
86647,,,86647
86648,,,86648
86649,,,86649
86650,,,86650
86651,,,86651
86652,,,86652
86653,,,86653
86654,,,86654
86655,,,86655
86656,,,86656
86657,,,86657
86658,,,86658
86659,,,86659
86660,,,86660
86661,,,86661
86662,,,86662
86663,,,86663
86664,,,86664
86665,,,86665
86666,,,86666
86667,,,86667
86668,,,86668
86669,,,86669
86670,,,86670
86671,,,86671
86672,,,86672
86673,,,86673
86674,,,86674
86675,,,86675
86676,,,86676
86677,,,86677
86678,,,86678
86679,,,86679
86680,,,86680
86681,,,86681
86682,,,86682
86683,,,86683
86684,,,86684
86685,,,86685
86686,,,86686
86687,,,86687
86688,,,86688
86689,,,86689
86690,,,86690
86691,,,86691
86692,,,86692
86693,,,86693
86694,,,86694
86695,,,86695
86696,,,86696
86697,,,86697
86698,,,86698
86699,,,86699
86700,,,86700
86701,,,86701
86702,,,86702
86703,,,86703
86704,,,86704
86705,,,86705
86706,,,86706
86707,,,86707
86708,,,86708
86709,,,86709
86710,,,86710
86711,,,86711
86712,,,86712
86713,,,86713
86714,,,86714
86715,,,86715
86716,,,86716
86717,,,86717
86718,,,86718
86719,,,86719
86720,,,86720
86721,,,86721
86722,,,86722
86723,,,86723
86724,,,86724
86725,,,86725
86726,,,86726
86727,,,86727
86728,,,86728
86729,,,86729
86730,,,86730
86731,,,86731
86732,,,86732
86733,,,86733
86734,,,86734
86735,,,86735
86736,,,86736
86737,,,86737
86738,,,86738
86739,,,86739
86740,,,86740
86741,,,86741
86742,,,86742
86743,,,86743
86744,,,86744
86745,,,86745
86746,,,86746
86747,,,86747
86748,,,86748
86749,,,86749
86750,,,86750
86751,,,86751
86752,,,86752
86753,,,86753
86754,,,86754
86755,,,86755
86756,,,86756
86757,,,86757
86758,,,86758
86759,,,86759
86760,,,86760
86761,,,86761
86762,,,86762
86763,,,86763
86764,,,86764
86765,,,86765
86766,,,86766
86767,,,86767
86768,,,86768
86769,,,86769
86770,,,86770
85710,,,85710
85711,,,85711
85712,,,85712
85713,,,85713
85714,,,85714
85715,,,85715
85716,,,85716
85717,,,85717
85718,,,85718
85719,,,85719
85720,,,85720
85721,,,85721
85722,,,85722
85723,,,85723
85724,,,85724
85725,,,85725
85726,,,85726
85727,,,85727
85728,,,85728
85729,,,85729
85730,,,85730
85731,,,85731
85732,,,85732
85733,,,85733
85734,,,85734
85735,,,85735
85736,,,85736
85737,,,85737
85738,,,85738
85739,,,85739
85740,,,85740
85741,,,85741
85742,,,85742
85743,,,85743
85744,,,85744
85745,,,85745
85746,,,85746
85747,,,85747
85748,,,85748
85749,,,85749
85750,,,85750
85751,,,85751
85752,,,85752
85753,,,85753
85754,,,85754
85755,,,85755
85756,,,85756
85757,,,85757
85758,,,85758
85759,,,85759
85760,,,85760
85761,,,85761
85762,,,85762
85763,,,85763
85764,,,85764
85765,,,85765
85766,,,85766
85767,,,85767
85768,,,85768
85769,,,85769
85770,,,85770
85771,,,85771
85772,,,85772
85773,,,85773
85774,,,85774
85775,,,85775
85776,,,85776
85777,,,85777
85778,,,85778
85779,,,85779
85780,,,85780
85781,,,85781
85782,,,85782
85783,,,85783
85784,,,85784
85785,,,85785
85786,,,85786
85787,,,85787
85788,,,85788
85789,,,85789
85790,,,85790
85791,,,85791
85792,,,85792
85793,,,85793
85794,,,85794
85795,,,85795
85796,,,85796
85797,,,85797
85798,,,85798
40855,,,40855
40856,,,40856
40857,,,40857
40858,,,40858
40859,,,40859
40860,,,40860
40861,,,40861
40862,,,40862
40863,,,40863
40864,,,40864
40865,,,40865
40866,,,40866
40867,,,40867
40868,,,40868
40869,,,40869
40870,,,40870
40871,,,40871
40872,,,40872
40873,,,40873
40874,,,40874
40875,,,40875
40876,,,40876
40877,,,40877
40878,,,40878
40879,,,40879
40880,,,40880
40881,,,40881
40882,,,40882
40883,,,40883
40884,,,40884
40885,,,40885
40886,,,40886
40887,,,40887
40888,,,40888
40889,,,40889
40890,,,40890
40891,,,40891
40892,,,40892
40893,,,40893
40894,,,40894
40895,,,40895
40896,,,40896
40897,,,40897
40898,,,40898
40899,,,40899
40900,,,40900
40901,,,40901
40902,,,40902
40903,,,40903
40904,,,40904
40905,,,40905
40906,,,40906
40907,,,40907
40908,,,40908
40909,,,40909
40910,,,40910
40911,,,40911
40912,,,40912
40913,,,40913
40914,,,40914
40915,,,40915
40916,,,40916
40917,,,40917
40918,,,40918
40919,,,40919
40920,,,40920
40921,,,40921
40922,,,40922
40923,,,40923
40924,,,40924
40925,,,40925
40926,,,40926
40927,,,40927
40928,,,40928
40929,,,40929
40930,,,40930
40931,,,40931
40932,,,40932
40933,,,40933
40934,,,40934
40935,,,40935
40936,,,40936
40937,,,40937
40938,,,40938
40939,,,40939
40940,,,40940
40941,,,40941
40942,,,40942
40943,,,40943
40944,,,40944
40945,,,40945
40946,,,40946
40947,,,40947
40948,,,40948
40949,,,40949
40950,,,40950
40951,,,40951
40952,,,40952
40953,,,40953
40954,,,40954
40955,,,40955
40956,,,40956
40957,,,40957
40958,,,40958
40959,,,40959
40960,,,40960
40961,,,40961
40962,,,40962
40963,,,40963
40964,,,40964
40965,,,40965
40966,,,40966
40967,,,40967
40968,,,40968
40969,,,40969
40970,,,40970
40971,,,40971
40972,,,40972
40973,,,40973
40974,,,40974
40975,,,40975
40976,,,40976
68388,,,68388
68389,,,68389
68390,,,68390
68391,,,68391
68392,,,68392
68393,,,68393
68394,,,68394
68395,,,68395
68396,,,68396
68397,,,68397
68398,,,68398
68399,,,68399
68400,,,68400
68401,,,68401
68402,,,68402
68403,,,68403
68404,,,68404
68405,,,68405
68406,,,68406
68407,,,68407
68408,,,68408
68409,,,68409
68410,,,68410
68411,,,68411
68412,,,68412
68413,,,68413
68414,,,68414
68415,,,68415
68416,,,68416
68417,,,68417
68418,,,68418
68419,,,68419
68420,,,68420
68421,,,68421
68422,,,68422
68423,,,68423
68424,,,68424
68425,,,68425
68426,,,68426
68427,,,68427
68428,,,68428
68429,,,68429
68430,,,68430
68431,,,68431
68432,,,68432
68433,,,68433
68434,,,68434
68435,,,68435
68436,,,68436
68437,,,68437
68438,,,68438
68439,,,68439
68440,,,68440
68441,,,68441
68442,,,68442
68443,,,68443
68444,,,68444
68445,,,68445
68446,,,68446
68447,,,68447
68448,,,68448
68449,,,68449
68450,,,68450
68451,,,68451
68452,,,68452
68453,,,68453
68454,,,68454
68455,,,68455
68456,,,68456
68457,,,68457
68458,,,68458
68459,,,68459
68460,,,68460
68461,,,68461
68462,,,68462
68463,,,68463
68464,,,68464
68465,,,68465
68466,,,68466
68467,,,68467
68468,,,68468
68469,,,68469
68470,,,68470
68471,,,68471
68472,,,68472
68473,,,68473
68474,,,68474
68475,,,68475
68476,,,68476
68477,,,68477
68478,,,68478
68479,,,68479
68480,,,68480
68481,,,68481
68482,,,68482
68483,,,68483
68484,,,68484
68485,,,68485
68486,,,68486
68487,,,68487
68488,,,68488
68489,,,68489
